ID,CODSEC,DIR,ZHFG,TIPORESLZHF,ESTRATO,LOCALIDAD,UPZ,LONG,LAT,CONDJUR,AT,VALTER,VALTOTER,USO,SISTCON,PUNTAJE,EDAD,AC,AREATC,VALORC,VRTOTAL,AVALUO,INTEGRAL,ACTECOIM,TIPOAEI
48,002205363600000000,KR 22A 45 51 SUR,6232215153113,3,3,18,,,,2,346.00,190000,65740000,001,A,37,20,105.80,451.80,180000,19044000,166769000,369121,1,3
48,002205363600000000,KR 22A 45 51 SUR,6232215153113,3,3,18,,,,2,346.00,190000,65740000,025,A,52,20,255.70,451.80,250000,63925000,166769000,369121,1,3
48,002205363600000000,KR 22A 45 51 SUR,6232215153113,3,3,18,,,,2,346.00,190000,65740000,080,A,43,20,90.30,451.80,200000,18060000,166769000,369121,1,3
49,002205382600000000,KR 21 45 85 SUR,6232215153113,3,3,18,,,,2,273.00,190000,51870000,022,A,28,56,51.80,369.70,150000,7770000,127426000,344674,1,3
49,002205382600000000,KR 21 45 85 SUR,6232215153113,3,3,18,,,,2,273.00,190000,51870000,033,A,34,56,210.30,369.70,220000,46266000,129529000,350362,1,3
49,002205382600000000,KR 21 45 85 SUR,6232215153113,3,3,18,,,,2,273.00,190000,51870000,080,A,41,56,107.60,369.70,200000,21520000,129529000,350362,1,3
50,002205431700000000,DG 45S 20 33,6462215153113,3,3,18,,,,2,256.00,190000,48640000,022,A,44,30,279.04,470.91,220000,61388800,159915000,339587,1,3
50,002205431700000000,DG 45S 20 33,6462215153113,3,3,18,,,,2,256.00,190000,48640000,033,A,51,30,191.87,470.91,260000,49886200,159915000,339587,1,3
51,002205713600000000,DG 48 SUR 18B 15,6462215153322,3,3,18,,,,2,320.10,220000,70422000,025,A,52,15,320.10,320.10,320000,102432000,172854000,540000,2,2
52,002205753200000000,AK 13 42A 41,6462215153422,3,3,18,,,,2,490.20,350000,171570000,022,A,42,16,162.00,624.30,220000,35640000,332631000,532806,2,2
52,002205753200000000,AK 13 42A 41,6462215153422,3,3,18,,,,2,490.20,350000,171570000,025,A,54,16,328.20,624.30,280000,91896000,332631000,532806,2,2
52,002205753200000000,AK 13 42A 41,6462215153422,3,3,18,,,,2,490.20,350000,171570000,080,A,47,16,134.10,624.30,250000,33525000,332631000,532806,2,2
53,002302022200000000,KR 30 22 25 SUR,6462215152122,3,3,15,,,,2,374.00,280000,104720000,022,A,35,30,57.00,413.30,190000,105178000,209898000,507859,2,2
53,002302022200000000,KR 30 22 25 SUR,6462215152122,3,3,15,,,,2,374.00,280000,104720000,025,A,62,30,299.30,413.30,260000,77818000,209898000,507859,2,2
53,002302022200000000,KR 30 22 25 SUR,6462215152122,3,3,15,,,,2,374.00,280000,104720000,080,A,48,30,57.00,413.30,290000,16530000,209898000,507859,2,2
54,002302046000000000,CL 23 SUR 28 13,6462215152132,3,3,15,,,,2,655.60,220000,144232000,001,A,31,45,187.90,535.30,160000,118684000,262916000,491156,3,2
54,002302046000000000,CL 23 SUR 28 13,6462215152132,3,3,15,,,,2,655.60,220000,144232000,003,A,30,80,28.40,535.30,200000,5680000,268553000,501687,3,2
54,002302046000000000,CL 23 SUR 28 13,6462215152132,3,3,15,,,,2,655.60,220000,144232000,025,A,66,80,319.00,535.30,260000,82940000,268553000,501687,3,2
